"","x"
"1","1"
"2","9625"
"3","650655"
"4","23461"
"5","10347"
"6","5244"
"7","84836"
"8","25890"
"9","30"
"10","32"
"11","35"
"12","9744"
"13","38"
"14","91452"
"15","9311"
"16","84680"
"17","26027"
"18","8309"
"19","80221"
"20","6296"
"21","54988"
"22","79611"
"23","8755"
"24","11095"
"25","113179"
"26","57143"
"27","108"
"28","125"
"29","137872"
"30","141"
"31","147"
"32","166"
"33","2334"
"34","3899"
"35","84871"
"36","177"
"37","3268"
"38","84803"
"39","9131"
"40","122481"
"41","9472"
"42","8574"
"43","22977"
"44","64400"
"45","10840"
"46","218"
"47","224"
"48","221"
"49","54890"
"50","120425"
"51","386724"
"52","275"
"53","25847"
"54","29882"
"55","287"
"56","118932"
"57","63926"
"58","56899"
"59","203859"
"60","338440"
"61","311"
"62","1174"
"63","8120"
"64","322"
"65","83464"
"66","140564"
"67","60489"
"68","164668"
"69","358"
"70","84364"
"71","83478"
"72","23779"
"73","64333"
"74","445328"
"75","50650"
"76","7984"
"77","10865"
"78","79637"
"79","9823"
"80","51676"
"81","430"
"82","443"
"83","554235"
"84","79058"
"85","80150"
"86","460"
"87","23245"
"88","84896"
"89","84971"
"90","482"
"91","487"
"92","489"
"93","498"
"94","535"
"95","9114"
"96","529"
"97","534"
"98","51761"
"99","25814"
"100","127002"
"101","8705"
"102","11041"
"103","374907"
"104","27077"
"105","80776"
"106","80115"
"107","116071"
"108","166379"
"109","4059"
"110","587"
"111","79370"
"112","598"
"113","622"
"114","56898"
"115","79656"
"116","144453"
"117","266675"
"118","55859"
"119","84707"
"120","56271"
"121","631"
"122","55909"
"123","640"
"124","91653"
"125","9024"
"126","90135"
"127","7832"
"128","151888"
"129","84811"
"130","10974"
"131","83938"
"132","54838"
"133","256329"
"134","25906"
"135","55216"
"136","283416"
"137","254013"
"138","400073"
"139","28984"
"140","57184"
"141","388135"
"142","89927"
"143","388327"
"144","256302"
"145","201229"
"146","284029"
"147","147685"
"148","113177"
"149","126074"
"150","79173"
"151","284361"
"152","55337"
"153","716"
"154","90529"
"155","84852"
"156","128344"
"157","116151"
"158","284805"
"159","55317"
"160","8209"
"161","388815"
"162","59271"
"163","79680"
"164","80111"
"165","84892"
"166","375341"
"167","54859"
"168","404201"
"169","132321"
"170","152641"
"171","84709"
"172","260436"
"173","84418"
"174","134121"
"175","10826"
"176","79969"
"177","221545"
"178","442213"
"179","90523"
"180","441150"
"181","221481"
"182","79783"
"183","154791"
"184","51490"
"185","90871"
"186","84302"
"187","286257"
"188","55064"
"189","55684"
"190","762"
"191","57863"
"192","794"
"193","57118"
"194","11132"
"195","823"
"196","825"
"197","57571"
"198","55259"
"199","57524"
"200","79820"
"201","10367"
"202","863"
"203","54862"
"204","56267"
"205","29903"
"206","201973"
"207","81576"
"208","57639"
"209","79140"
"210","387885"
"211","92558"
"212","26112"
"213","283234"
"214","440193"
"215","6358"
"216","6363"
"217","6352"
"218","894"
"219","900"
"220","1236"
"221","10693"
"222","913"
"223","939"
"224","914"
"225","146894"
"226","915"
"227","916"
"228","959"
"229","962"
"230","1043"
"231","966"
"232","921"
"233","923"
"234","972"
"235","973"
"236","974"
"237","925"
"238","10225"
"239","55561"
"240","55536"
"241","1008"
"242","80279"
"243","8999"
"244","1029"
"245","100048912"
"246","60680"
"247","60677"
